peptide,1,2,3,4,5,6,7,8
SG-CHH-pyro-Q-reduced-cz-ion,695.308,348.158,232.441,174.583,139.868,116.725,100.194,87.795
SG-CHH-pyro-Q-reduced-cz-ion,696.311,348.659,232.776,174.834,140.068,116.892,100.337,87.921
SG-CHH-reduced-cz-ion,710.323,355.665,237.446,178.337,142.871,119.227,102.339,89.672
SG-CHH-reduced-cz-ion,711.331,356.169,237.782,178.589,143.072,119.395,102.483,89.798
SG-CHH-reduced-cz-ion,712.334,356.671,238.117,178.839,143.273,119.562,102.626,89.924
SG-CHH-reduced-cz-ion,713.338,357.173,238.451,179.09,143.474,119.73,102.769,90.049
SG-CHH-pyro-Q-reduced-by-ion,724.483,362.745,242.166,181.877,145.703,121.587,104.361,91.442
SG-CHH-pyro-Q-reduced-cz-ion,725.491,363.249,242.502,182.129,145.904,121.755,104.505,91.568
SG-CHH-pyro-Q-reduced-cz-ion,726.499,363.753,242.838,182.381,146.106,121.923,104.649,91.694
SG-CHH-pyro-Q-reduced-cz-ion,727.502,364.255,243.172,182.631,146.307,122.09,104.793,91.82
SG-CHH-pyro-Q-reduced-cz-ion,728.505,364.757,243.507,182.882,146.507,122.257,104.936,91.945
DiSul-by-ion,733.25,367.129,245.088,184.068,147.456,123.048,105.614,92.538
SG-CHH-pyro-Q-reduced-by-ion,735.265,368.137,245.76,184.572,147.859,123.384,105.902,92.79
SG-CHH-pyro-Q-reduced-by-ion,741.509,371.259,247.842,186.133,149.108,124.425,106.794,93.57
DiSul-by-ion,750.276,375.642,250.764,188.325,150.862,125.886,108.046,94.666
SG-CHH-pyro-Q-reduced-by-ion,752.292,376.65,251.436,188.829,151.265,126.222,108.334,94.918
DiSul-by-ion,760.261,380.634,254.092,190.821,152.858,127.55,109.473,95.914
DiSul-by-ion,760.351,380.68,254.122,190.844,152.877,127.565,109.485,95.926
DiSul-by-ion,761.245,381.126,254.42,191.067,153.055,127.714,109.613,96.037
SG-CHH-pyro-Q-reduced-by-ion,762.276,381.642,254.764,191.325,153.262,127.886,109.76,96.166
SG-CHH-pyro-Q-reduced-by-ion,763.26,382.134,255.092,191.571,153.458,128.05,109.901,96.289
CPRP-by-ion,764.357,382.683,255.458,191.845,153.678,128.233,110.058,96.426
CPRP-cz-ion,766.349,383.679,256.122,192.343,154.076,128.565,110.342,96.675
DiSul-by-ion,767.303,384.155,256.44,192.582,154.267,128.724,110.479,96.795
CPRP-cz-ion,767.357,384.182,256.458,192.595,154.278,128.733,110.486,96.801
CPRP-cz-ion,768.36,384.684,256.792,192.846,154.478,128.9,110.63,96.927
PO-CHH-reduced-by-ion,768.448,384.728,256.821,192.868,154.496,128.915,110.642,96.938
SG-CHH-reduced-by-ion,769.319,385.163,257.111,193.086,154.67,129.06,110.767,97.047
CPRP-cz-ion,769.364,385.186,257.126,193.097,154.679,129.067,110.773,97.052
PO-CHH-reduced-by-ion,769.432,385.22,257.149,193.114,154.693,129.079,110.783,97.061
PO-CHH-pyro-Q-reduced-cz-ion,770.439,385.724,257.485,193.366,154.894,129.246,110.927,97.187
PO-CHH-pyro-Q-reduced-cz-ion,771.447,386.228,257.821,193.618,155.096,129.414,111.071,97.313
PO-CHH-pyro-Q-reduced-cz-ion,772.451,386.729,258.155,193.869,155.296,129.582,111.214,97.438
PO-CHH-pyro-Q-reduced-cz-ion,773.454,387.231,258.49,194.119,155.497,129.749,111.357,97.564
DiSul-by-ion,777.287,389.148,259.768,195.078,156.264,130.388,111.905,98.043
DiSul-by-ion,777.378,389.193,259.798,195.1,156.282,130.403,111.918,98.054
DiSul-by-ion,778.271,389.64,260.096,195.324,156.461,130.552,112.045,98.166
SG-CHH-reduced-by-ion,779.303,390.155,260.44,195.582,156.667,130.724,112.193,98.295
SG-CHH-pyro-Q-reduced-by-ion,780.287,390.647,260.768,195.828,156.864,130.888,112.333,98.418
CPRP-by-ion,782.368,391.688,261.461,196.348,157.28,131.235,112.631,98.678
CPRP-by-ion,782.427,391.717,261.481,196.363,157.292,131.244,112.639,98.685
PO-CHH-reduced-by-ion,786.458,393.733,262.825,197.37,158.098,131.916,113.215,99.189
