Target Sequence,File Name,MH,M,7
EmptyTargetSequence,EmptyFileName,5863.04696,5862.03912,838.442
EmptyTargetSequence,EmptyFileName,5871.90896,5870.90112,839.708
EmptyTargetSequence,EmptyFileName,5875.04496,5874.03712,840.156
EmptyTargetSequence,EmptyFileName,5877.02596,5876.01812,840.439
EmptyTargetSequence,EmptyFileName,5878.04796,5877.04012,840.585
EmptyTargetSequence,EmptyFileName,5904.84396,5903.83612,844.413
EmptyTargetSequence,EmptyFileName,5906.86696,5905.85912,844.702
EmptyTargetSequence,EmptyFileName,5915.09896,5914.09112,845.878
EmptyTargetSequence,EmptyFileName,5930.09996,5929.09212,848.021
EmptyTargetSequence,EmptyFileName,5932.12996,5931.12212,848.311
EmptyTargetSequence,EmptyFileName,5933.13096,5932.12312,848.454
EmptyTargetSequence,EmptyFileName,5940.09596,5939.08812,849.449
EmptyTargetSequence,EmptyFileName,5943.33696,5942.32912,849.912
EmptyTargetSequence,EmptyFileName,5947.08896,5946.08112,850.448
EmptyTargetSequence,EmptyFileName,5948.01996,5947.01212,850.581
EmptyTargetSequence,EmptyFileName,5949.03496,5948.02712,850.726
EmptyTargetSequence,EmptyFileName,5950.30896,5949.30112,850.908
EmptyTargetSequence,EmptyFileName,5960.11596,5959.10812,852.309
EmptyTargetSequence,EmptyFileName,5960.12296,5959.11512,852.31
EmptyTargetSequence,EmptyFileName,5960.12996,5959.12212,852.311
EmptyTargetSequence,EmptyFileName,5960.54996,5959.54212,852.371
EmptyTargetSequence,EmptyFileName,5974.08796,5973.08012,854.305
EmptyTargetSequence,EmptyFileName,5975.12396,5974.11612,854.453
EmptyTargetSequence,EmptyFileName,5977.09796,5976.09012,854.735
EmptyTargetSequence,EmptyFileName,5979.90496,5978.89712,855.136
EmptyTargetSequence,EmptyFileName,5990.12496,5989.11712,856.596
EmptyTargetSequence,EmptyFileName,5992.19696,5991.18912,856.892
EmptyTargetSequence,EmptyFileName,5995.85096,5994.84312,857.414
EmptyTargetSequence,EmptyFileName,6003.74696,6002.73912,858.542
EmptyTargetSequence,EmptyFileName,6006.74996,6005.74212,858.971
EmptyTargetSequence,EmptyFileName,6008.82196,6007.81412,859.267
EmptyTargetSequence,EmptyFileName,6008.89896,6007.89112,859.278
EmptyTargetSequence,EmptyFileName,6012.58096,6011.57312,859.804
EmptyTargetSequence,EmptyFileName,6013.03596,6012.02812,859.869
EmptyTargetSequence,EmptyFileName,6013.04996,6012.04212,859.871
EmptyTargetSequence,EmptyFileName,6013.09196,6012.08412,859.877
EmptyTargetSequence,EmptyFileName,6018.05496,6017.04712,860.586
EmptyTargetSequence,EmptyFileName,6018.06196,6017.05412,860.587
EmptyTargetSequence,EmptyFileName,6019.05596,6018.04812,860.729
EmptyTargetSequence,EmptyFileName,6020.06396,6019.05612,860.873
EmptyTargetSequence,EmptyFileName,6021.91896,6020.91112,861.138
EmptyTargetSequence,EmptyFileName,6024.15896,6023.15112,861.458
EmptyTargetSequence,EmptyFileName,6027.03596,6026.02812,861.869
EmptyTargetSequence,EmptyFileName,6034.05696,6033.04912,862.872
EmptyTargetSequence,EmptyFileName,6041.16196,6040.15412,863.887
EmptyTargetSequence,EmptyFileName,6045.06096,6044.05312,864.444
EmptyTargetSequence,EmptyFileName,6052.04696,6051.03912,865.442
EmptyTargetSequence,EmptyFileName,6056.16996,6055.16212,866.031
EmptyTargetSequence,EmptyFileName,6056.41496,6055.40712,866.066
EmptyTargetSequence,EmptyFileName,6056.42196,6055.41412,866.067
EmptyTargetSequence,EmptyFileName,6059.42496,6058.41712,866.496
EmptyTargetSequence,EmptyFileName,6066.20796,6065.20012,867.465
EmptyTargetSequence,EmptyFileName,6067.35596,6066.34812,867.629
EmptyTargetSequence,EmptyFileName,6067.85296,6066.84512,867.7
EmptyTargetSequence,EmptyFileName,6068.91696,6067.90912,867.852
EmptyTargetSequence,EmptyFileName,6073.08196,6072.07412,868.447
EmptyTargetSequence,EmptyFileName,6073.17296,6072.16512,868.46
EmptyTargetSequence,EmptyFileName,6074.84596,6073.83812,868.699
EmptyTargetSequence,EmptyFileName,6080.18696,6079.17912,869.462
EmptyTargetSequence,EmptyFileName,6083.20396,6082.19612,869.893
EmptyTargetSequence,EmptyFileName,6083.84096,6082.83312,869.984
EmptyTargetSequence,EmptyFileName,6087.16596,6086.15812,870.459
EmptyTargetSequence,EmptyFileName,6089.16096,6088.15312,870.744
EmptyTargetSequence,EmptyFileName,6091.35896,6090.35112,871.058
EmptyTargetSequence,EmptyFileName,6093.17196,6092.16412,871.317
EmptyTargetSequence,EmptyFileName,6106.22696,6105.21912,873.182
EmptyTargetSequence,EmptyFileName,6111.11996,6110.11212,873.881
EmptyTargetSequence,EmptyFileName,6113.21296,6112.20512,874.18
EmptyTargetSequence,EmptyFileName,6119.18396,6118.17612,875.033
EmptyTargetSequence,EmptyFileName,6127.19196,6126.18412,876.177
EmptyTargetSequence,EmptyFileName,6128.99096,6127.98312,876.434
EmptyTargetSequence,EmptyFileName,6129.04696,6128.03912,876.442
EmptyTargetSequence,EmptyFileName,6132.14096,6131.13312,876.884
EmptyTargetSequence,EmptyFileName,6133.14896,6132.14112,877.028
EmptyTargetSequence,EmptyFileName,6133.68096,6132.67312,877.104
EmptyTargetSequence,EmptyFileName,6138.20996,6137.20212,877.751
EmptyTargetSequence,EmptyFileName,6138.66496,6137.65712,877.816
EmptyTargetSequence,EmptyFileName,6139.11296,6138.10512,877.88
EmptyTargetSequence,EmptyFileName,6139.75696,6138.74912,877.972
EmptyTargetSequence,EmptyFileName,6139.95996,6138.95212,878.001
EmptyTargetSequence,EmptyFileName,6146.65896,6145.65112,878.958
EmptyTargetSequence,EmptyFileName,6148.16396,6147.15612,879.173
EmptyTargetSequence,EmptyFileName,6154.20496,6153.19712,880.036
EmptyTargetSequence,EmptyFileName,6160.10596,6159.09812,880.879
EmptyTargetSequence,EmptyFileName,6161.16296,6160.15512,881.03
EmptyTargetSequence,EmptyFileName,6163.18596,6162.17812,881.319
EmptyTargetSequence,EmptyFileName,6167.21096,6166.20312,881.894
EmptyTargetSequence,EmptyFileName,6168.97496,6167.96712,882.146
EmptyTargetSequence,EmptyFileName,6170.18596,6169.17812,882.319
EmptyTargetSequence,EmptyFileName,6176.18496,6175.17712,883.176
EmptyTargetSequence,EmptyFileName,6180.11196,6179.10412,883.737
EmptyTargetSequence,EmptyFileName,6182.13496,6181.12712,884.026
EmptyTargetSequence,EmptyFileName,6190.14296,6189.13512,885.17
EmptyTargetSequence,EmptyFileName,6191.12296,6190.11512,885.31
EmptyTargetSequence,EmptyFileName,6192.86596,6191.85812,885.559
EmptyTargetSequence,EmptyFileName,6196.14196,6195.13412,886.027
EmptyTargetSequence,EmptyFileName,6197.14996,6196.14212,886.171
EmptyTargetSequence,EmptyFileName,6197.17796,6196.17012,886.175
EmptyTargetSequence,EmptyFileName,6198.15096,6197.14312,886.314
EmptyTargetSequence,EmptyFileName,6203.18396,6202.17612,887.033
